sample,adam_support,lbfgsb_support,adam_J,lbfgsb_J,abs_J_diff
0,0,0,4.25387144e-01,4.25387144e-01,0.00000000e+00
1,0,0,9.59603861e-02,9.59604010e-02,1.49011612e-08
2,0,0,9.73837636e-03,9.73837636e-03,0.00000000e+00
3,4,1,2.28775218e-01,2.14302433e-01,1.44727846e-02
4,12,25,5.01067527e-02,4.25470522e-02,7.55970043e-03
5,5,5,8.58636722e-02,8.64308808e-02,5.67208648e-04
6,0,4,3.79694402e-02,3.22968977e-02,5.67254254e-03
7,0,0,0.00000000e+00,0.00000000e+00,0.00000000e+00
8,0,0,1.17555065e-02,1.17555065e-02,0.00000000e+00
9,0,0,7.01751746e-03,7.01751793e-03,4.65661287e-10
10,0,0,1.58763483e-01,1.58763483e-01,0.00000000e+00
11,4,4,1.95769355e-01,1.95827572e-01,5.82168102e-05
12,0,0,1.49336532e-01,1.49336532e-01,0.00000000e+00
13,0,0,9.16867480e-02,9.16867480e-02,0.00000000e+00
14,0,0,1.51538059e-01,1.51538059e-01,0.00000000e+00
15,0,0,3.19342613e-02,3.19342613e-02,0.00000000e+00
16,0,0,1.04308225e-01,1.04308218e-01,7.45058060e-09
17,0,0,0.00000000e+00,0.00000000e+00,0.00000000e+00
18,0,0,6.01215512e-02,6.01215512e-02,0.00000000e+00
19,0,0,1.76684022e-01,1.76684022e-01,0.00000000e+00
20,0,0,9.73989740e-02,9.73989740e-02,0.00000000e+00
21,8,4,1.02973804e-01,1.10672993e-01,7.69918954e-03
22,0,0,3.34113277e-02,3.34113277e-02,0.00000000e+00
23,0,0,2.19499305e-01,2.19499305e-01,0.00000000e+00
24,4,0,1.72441807e-02,1.90743450e-02,1.83016434e-03
25,0,0,6.29503503e-02,6.29503503e-02,0.00000000e+00
26,0,0,2.28681993e-02,2.28681993e-02,0.00000000e+00
27,4,4,5.13334610e-02,5.14986197e-02,1.65158719e-04
28,0,0,2.36056089e-01,2.36056104e-01,1.49011612e-08
29,1,1,5.95385209e-02,5.97140732e-02,1.75552279e-04
30,0,0,2.25968540e-01,2.25968525e-01,1.49011612e-08
31,0,0,4.46789503e-01,4.46789503e-01,0.00000000e+00
32,4,4,1.83911160e-01,1.83739675e-01,1.71484590e-04
33,0,0,1.21470548e-01,1.21470563e-01,1.49011612e-08
34,4,4,1.08711876e-01,1.09153760e-01,4.41884458e-04
35,4,4,4.03511934e-02,4.06452099e-02,2.94016510e-04
36,0,0,7.77117088e-02,7.77117088e-02,0.00000000e+00
37,12,12,2.13443816e-01,2.21253972e-01,7.81015646e-03
38,0,0,1.18353469e-02,1.18353469e-02,0.00000000e+00
39,8,8,3.47621180e-02,3.60625254e-02,1.30040741e-03
40,20,20,2.04956010e-02,2.10342516e-02,5.38650572e-04
