variant,seed,top_k,z4_pass,major_mixing,existence_tests,existence_deletes,existence_rollbacks,duplicate_prunes,m_discovered,family_accuracy,fragmentation,b1_pass,final_pass,failure_mode
H0,0,,True,,,,,,5,,,,False,F4_duplicate_graph_false_negative
H0,1,,False,,,,,,,,,,False,F3_mechanism_mixing
H0,2,,True,,,,,,5,,,,False,F4_duplicate_graph_false_negative
H2,0,,True,,,,,,4,,,,False,F5_unsupported_slot_remains
H2,1,,False,,,,,,,,,,False,F4_persistent_mixing_or_identity_failure
H2,2,,True,,,,,,3,,,,True,
H3,0,,False,,,,,,,,,,False,F4_persistent_mixing_or_identity_failure
H3,1,,True,,,,,,3,,,,False,F6_duplicate_or_reassignment_failure
H3,2,,False,,,,,,,,,,False,F4_persistent_mixing_or_identity_failure
S1,0,2,True,False,0,0,0,0,5,0.9378238341968912,0.06015037593984962,False,False,F7_count_only_failure
S1,1,2,False,False,0,0,0,0,,0.8549222797927462,0.1492642897566497,False,False,F5_persistent_mixing_or_identity_failure
S1,2,2,False,False,0,0,0,0,,0.8005181347150259,0.20094606985079602,False,False,F5_persistent_mixing_or_identity_failure
S2,0,2,True,False,25,0,0,0,5,0.9378238341968912,0.06015037593984962,False,False,F7_count_only_failure
S2,1,2,False,False,25,0,0,0,,0.8549222797927462,0.1492642897566497,False,False,F5_persistent_mixing_or_identity_failure
S2,2,2,False,False,25,0,0,0,,0.8005181347150259,0.20094606985079602,False,False,F5_persistent_mixing_or_identity_failure
S3,0,3,False,False,25,0,0,0,,0.9533678756476683,0.046433914242971795,False,False,F5_persistent_mixing_or_identity_failure
S3,1,3,True,False,25,0,0,1,4,0.9818652849740933,0.017543859649122823,False,False,F7_count_only_failure
S3,2,3,False,True,25,0,0,0,,0.6347150259067358,0.37142618988080356,False,False,F5_persistent_mixing_or_identity_failure
S4,0,1,True,False,20,2,0,0,3,1.0,0.0,True,True,
S4,1,1,False,False,25,0,0,0,,0.8523316062176166,0.1489803841937928,False,False,F5_persistent_mixing_or_identity_failure
S4,2,1,True,False,18,2,0,0,3,1.0,0.0,True,True,
