round,C1,C2,C3,C4,C5
0,-0.030293062429717743,-0.02720136280532115,-0.08733805237468961,-0.028660164767907226,-0.05760670913966548
1,-0.09671866211005531,-0.058704240061098645,-0.14956083309542922,-0.03201188788494713,-0.07878684361851729
2,-0.1348668885736668,-0.04403763520883097,-0.23373976300684762,-0.04658316842715693,-0.0968273759706284
3,-0.13158538074546078,-0.029083512066414796,-0.33162335185325253,-0.06588341316337631,-0.08129439351534429
4,-0.1748003164735965,-0.017268503042325856,-0.37777186745366165,-0.07874812828439826,-0.05503726350908966
5,-0.2198107713182087,-0.09101047835398024,-0.3526687960100432,-0.1022527281703669,-0.13034883654727536
6,-0.23576129792046552,-0.06738843110988557,-0.3532029558685159,-0.12381993465567342,-0.1312864633786286
7,-0.24262619675985997,-0.10727783213649267,-0.5150216249244586,-0.13778340071916184,-0.2654166331160883
8,-0.3149037311887448,-0.18970847190738893,-0.5429902064844931,-0.2811115530298409,-0.30906825367002666
9,-0.31275753233136117,-0.2573150427780042,-0.6175032350891063,-0.3674254384145583,-0.39361994067444384
10,-0.45027804279345784,-0.28196036232998,-0.5205089602411412,-0.3382187042237941,-0.3769002844275702
11,-0.3486751977292364,-0.3163403110402956,-0.6107690443249909,-0.36170321443008335,-0.45154328593958293
