round,C1,C2,C3,C4,C5
0,0.8710304498672485,0.8547368049621582,0.8508200347423553,0.86731818318367,0.8748006522655487
1,0.8039809167385101,0.8184963166713715,0.7876331210136414,0.8081928789615631,0.868845134973526
2,0.7374581396579742,0.7428519427776337,0.7397533655166626,0.7761757969856262,0.7986714541912079
3,0.6683120429515839,0.6594652831554413,0.6634453237056732,0.6918163299560547,0.7238244712352753
4,0.5732358396053314,0.5883291065692902,0.5508407354354858,0.5894659757614136,0.6402440369129181
5,0.5619232356548309,0.5512664914131165,0.5521328151226044,0.5616450011730194,0.593068927526474
6,0.5433410108089447,0.5052551329135895,0.5330925285816193,0.4965498149394989,0.5770146250724792
7,0.4667692184448242,0.5227148830890656,0.4865115135908127,0.36816635727882385,0.48913194239139557
8,0.4559459537267685,0.45087340474128723,0.40178538858890533,0.3631155490875244,0.4404512643814087
9,0.42792531847953796,0.42490848898887634,0.37592145800590515,0.352976992726326,0.4505017399787903
10,0.38322581350803375,0.42108476161956787,0.38964298367500305,0.31285202503204346,0.4022040069103241
11,0.38556280732154846,0.4099513292312622,0.31850993633270264,0.31334996223449707,0.3277338594198227
