round,train_mse,heldout_nrmse,family_accuracy,assignment_change,restart_agreement,fragmentation,sign_split,magnitude_split,r2_1,r2_2,r2_3,u1,u2,u3,u4,u5
0,0.07798504829406738,0.9327874183654785,0.36787564766839376,1.0,0.9138724523339908,0.5846919123264526,0.21098942914011407,0.17319799159140756,-0.29041658785743163,-0.3766532452877991,-0.3489217216227618,0.006574621959237344,0.0019723865877712033,0.9572649572649573,0.0013149243918474688,0.03287310979618672
1,0.05790000408887863,0.8435471057891846,0.3911917098445596,0.6147271531886916,0.40105193951347795,0.5879414715834347,0.297202671824157,0.19967316960576467,-0.23813065689701074,-0.23343975514056003,-0.4883740363699991,0.23076923076923078,0.20973044049967127,0.3859303090072321,0.09072978303747535,0.08284023668639054
2,0.04223460331559181,0.7732681632041931,0.48704663212435234,0.6817882971729126,0.4418145956607495,0.5184902115253124,0.22600966618630638,0.1787069030178082,-0.3994306014093332,-0.055428589611317136,-0.7088087056665948,0.1492439184746877,0.21893491124260356,0.3333333333333333,0.14990138067061143,0.14858645627876396
3,0.0343085378408432,0.673766553401947,0.533678756476684,0.6035502958579881,0.5082182774490467,0.47218352207099396,0.23846311569815537,0.23014526398012194,-0.47524553372004386,0.17949068575908667,-0.40549402698868064,0.18211702827087442,0.1433267587113741,0.3819855358316897,0.11834319526627218,0.17422748191978962
4,0.026073990389704704,0.5745274424552917,0.6398963730569949,0.4917817225509533,0.5982905982905983,0.36482945924451043,0.3373204334451631,0.16937694904865105,-0.22128893661765403,0.09014933356641008,-0.562280851530093,0.1814595660749507,0.13477975016436555,0.3438527284681131,0.14464168310322156,0.1952662721893491
5,0.01583476923406124,0.41075605154037476,0.7668393782383419,0.37541091387245235,0.7284681130834977,0.23750815523429727,0.3096976136630066,0.13429888399195092,0.0650412990271878,0.08835312572186149,-0.5942776727158678,0.1203155818540434,0.1472715318869165,0.35502958579881655,0.19723865877712032,0.18014464168310323
6,0.007639320567250252,0.3400348722934723,0.8212435233160622,0.22813938198553582,0.8500986193293886,0.18217618314353023,0.20619358077901698,0.11293107971309709,-0.0344090831266366,0.057109702402254325,-0.9223943660996452,0.10782380013149244,0.10256410256410256,0.34648257725180803,0.2215647600262985,0.2215647600262985
7,0.00540123088285327,0.29870668053627014,0.805699481865285,0.13806706114398423,0.8402366863905325,0.19807035092106362,0.21400415920963867,0.09704301075268817,0.02531770953321333,-0.7180537718451518,-1.0725031569229428,0.09335963182117028,0.09072978303747535,0.34911242603550297,0.2294543063773833,0.2373438527284681
8,0.0044004847295582294,0.27348074316978455,0.7694300518134715,0.14792899408284024,0.8165680473372781,0.23518379594898722,0.23785131661843992,0.1499819065343259,0.1062467262419663,-0.22833458967858178,-1.2665424031826307,0.09270216962524655,0.08021038790269559,0.3510848126232742,0.23405654174884943,0.24194608809993426
9,0.004018548876047134,0.2748454511165619,0.7176165803108808,0.16436554898093358,0.7863247863247863,0.2876969242310578,0.15538076839446702,0.16025382547559966,-0.11381771655507866,-0.7932185954133966,-1.0364623349526214,0.11374095989480605,0.09007232084155162,0.3510848126232742,0.2143326758711374,0.23076923076923078
