O1 seed=2 device=cuda
epoch=000 mse=0.1236190 val_nrmse=0.92777
epoch=010 mse=0.0008442 val_nrmse=0.07729
epoch=020 mse=0.0002020 val_nrmse=0.03798
epoch=030 mse=0.0001249 val_nrmse=0.03084
epoch=040 mse=0.0000872 val_nrmse=0.02069
epoch=050 mse=0.0000564 val_nrmse=0.02270
epoch=060 mse=0.0000570 val_nrmse=0.01636
epoch=070 mse=0.0000579 val_nrmse=0.02282
epoch=080 mse=0.0000574 val_nrmse=0.02170
epoch=090 mse=0.0000424 val_nrmse=0.01365
epoch=100 mse=0.0000381 val_nrmse=0.01988
epoch=110 mse=0.0000406 val_nrmse=0.01736
epoch=120 mse=0.0000237 val_nrmse=0.01178
epoch=130 mse=0.0000397 val_nrmse=0.01127
epoch=140 mse=0.0000277 val_nrmse=0.01171
epoch=150 mse=0.0000236 val_nrmse=0.02123
epoch=160 mse=0.0000617 val_nrmse=0.01553
epoch=170 mse=0.0000176 val_nrmse=0.01262
epoch=180 mse=0.0000329 val_nrmse=0.01353
epoch=190 mse=0.0000226 val_nrmse=0.00888
epoch=199 mse=0.0000214 val_nrmse=0.01383
{"prediction_nrmse": {"train": 0.007317058276385069, "val": 0.007302205543965101, "test_iid": 0.007270399481058121, "test_context": 0.008700316771864891, "test_combination_101": 0.008679259568452835}, "instance_effect_r2": {"train": {"matrix": [[0.999931942020608, -0.5212527571330656, -1.0030554347053502], [-2.023665695920768, 0.9999633088146701, -2.0095722462186973], [-1.0107813333260323, -0.5196898839826791, 0.9999263346492365]], "diagonal": [0.999931942020608, 0.9999633088146701, 0.9999263346492365], "minimum_diagonal": 0.9999263346492365}, "val": {"matrix": [[0.9999312070317544, -0.5180269511685083, -0.9855739590202919], [-2.0195159700021295, 0.9999627751245653, -1.9777760667817654], [-1.0220915737712817, -0.524182395124295, 0.9999278287477235]], "diagonal": [0.9999312070317544, 0.9999627751245653, 0.9999278287477235], "minimum_diagonal": 0.9999278287477235}, "test_iid": {"matrix": [[0.9999333454747522, -0.5285740894722613, -1.033820840312874], [-1.9785714303332842, 0.9999638749581298, -2.0352094857939593], [-0.9792390150677068, -0.515367335640901, 0.9999267720421563]], "diagonal": [0.9999333454747522, 0.9999638749581298, 0.9999267720421563], "minimum_diagonal": 0.9999267720421563}, "test_context": {"matrix": [[0.9998711484032634, -0.31539530184048514, -0.9863526078419065], [-3.8351112090802175, 0.9999615949966847, -3.6464576328428775], [-1.059730499605298, -0.3147215018709306, 0.9998578286322952]], "diagonal": [0.9998711484032634, 0.9999615949966847, 0.9998578286322952], "minimum_diagonal": 0.9998578286322952}, "test_combination_101": {"matrix": [[0.9999310724677213, -8037928710937499.0, -0.9906275424249542], [-0.010820461053719033, 1.0, -0.004065845687646341], [-1.0392833469121072, -8186370117187499.0, 0.9999246515868172]], "diagonal": [0.9999310724677213, 1.0, 0.9999246515868172], "minimum_diagonal": 0.9999246515868172}}, "pass_components": {"iid_nrmse": true, "combination_101_nrmse": true}, "strong_pass": true, "pass": true, "experiment": "O1", "optimization_seed": 2, "best_val_nrmse_subset": 0.00738203851506114, "epochs_run": 200, "wall_seconds": 114.14819550514221}
