O3-A tp=identity seed=1 device=cuda
epoch=000 loss=0.102874 effect=0.099977 active=2.897 val_nrmse=0.70856
epoch=010 loss=0.023565 effect=0.020565 active=2.999 val_nrmse=0.38152
epoch=020 loss=0.010614 effect=0.007614 active=3.000 val_nrmse=0.23905
epoch=030 loss=0.006945 effect=0.003946 active=3.000 val_nrmse=0.17036
epoch=040 loss=0.005697 effect=0.002698 active=3.000 val_nrmse=0.14521
epoch=050 loss=0.005135 effect=0.002136 active=3.000 val_nrmse=0.13114
epoch=060 loss=0.004817 effect=0.001817 active=3.000 val_nrmse=0.12166
epoch=070 loss=0.004617 effect=0.001617 active=3.000 val_nrmse=0.11591
epoch=080 loss=0.004440 effect=0.001440 active=3.000 val_nrmse=0.10752
epoch=090 loss=0.004355 effect=0.001355 active=3.000 val_nrmse=0.10654
epoch=100 loss=0.004277 effect=0.001277 active=3.000 val_nrmse=0.09962
epoch=110 loss=0.004084 effect=0.001084 active=3.000 val_nrmse=0.09395
epoch=120 loss=0.003999 effect=0.000999 active=3.000 val_nrmse=0.09104
epoch=130 loss=0.003911 effect=0.000911 active=3.000 val_nrmse=0.08606
epoch=140 loss=0.003872 effect=0.000872 active=3.000 val_nrmse=0.08619
epoch=150 loss=0.003767 effect=0.000767 active=3.000 val_nrmse=0.07793
epoch=160 loss=0.003759 effect=0.000759 active=3.000 val_nrmse=0.07852
epoch=170 loss=0.003695 effect=0.000695 active=3.000 val_nrmse=0.07363
epoch=180 loss=0.003612 effect=0.000613 active=3.000 val_nrmse=0.07196
epoch=190 loss=0.003606 effect=0.000606 active=3.000 val_nrmse=0.07208
epoch=199 loss=0.003555 effect=0.000555 active=3.000 val_nrmse=0.06681
