O3-A tp=orthogonal seed=0 device=cuda
epoch=000 loss=0.093246 effect=0.090322 active=2.924 val_nrmse=0.69073
epoch=010 loss=0.026583 effect=0.023584 active=2.999 val_nrmse=0.41676
epoch=020 loss=0.010382 effect=0.007382 active=3.000 val_nrmse=0.23229
epoch=030 loss=0.007019 effect=0.004019 active=3.000 val_nrmse=0.17360
epoch=040 loss=0.005688 effect=0.002688 active=3.000 val_nrmse=0.14381
epoch=050 loss=0.005163 effect=0.002163 active=3.000 val_nrmse=0.12886
epoch=060 loss=0.004865 effect=0.001865 active=3.000 val_nrmse=0.12036
epoch=070 loss=0.004574 effect=0.001574 active=3.000 val_nrmse=0.11202
epoch=080 loss=0.004396 effect=0.001396 active=3.000 val_nrmse=0.10861
epoch=090 loss=0.004261 effect=0.001261 active=3.000 val_nrmse=0.10291
epoch=100 loss=0.004210 effect=0.001210 active=3.000 val_nrmse=0.09926
epoch=110 loss=0.004049 effect=0.001049 active=3.000 val_nrmse=0.09350
epoch=120 loss=0.003996 effect=0.000996 active=3.000 val_nrmse=0.09031
epoch=130 loss=0.003938 effect=0.000938 active=3.000 val_nrmse=0.08860
epoch=140 loss=0.003856 effect=0.000856 active=3.000 val_nrmse=0.08368
epoch=150 loss=0.003803 effect=0.000803 active=3.000 val_nrmse=0.08154
epoch=160 loss=0.003722 effect=0.000722 active=3.000 val_nrmse=0.07879
epoch=170 loss=0.003702 effect=0.000702 active=3.000 val_nrmse=0.07495
epoch=180 loss=0.003634 effect=0.000634 active=3.000 val_nrmse=0.07244
epoch=190 loss=0.003609 effect=0.000609 active=3.000 val_nrmse=0.06967
epoch=199 loss=0.003594 effect=0.000594 active=3.000 val_nrmse=0.06760
