sample,gt_pattern,selected_pattern,correct,gt_objective,best_alternative_objective,margin,J_000,J_001,J_010,J_011,J_100,J_101,J_110,J_111
0,011,011,1,0.0020000000000005287,0.0030000000000000443,0.0009999999999995156,0.08597796649934848,0.03501221306625299,0.06424277954979675,0.0020000000000005287,0.049045404821695414,0.021724271692643696,0.04676812690544063,0.0030000000000000443
1,111,111,1,0.0030000000000010647,0.058973569313580304,0.05597356931357924,0.28843314640045364,0.20492022702103407,0.2894176625580017,0.17451722368099634,0.17630889766261226,0.058973569313580304,0.1766122189309635,0.0030000000000010647
2,010,010,1,0.0010000000000001043,0.0020000000000000846,0.0009999999999999803,0.06530429515245437,0.06514652007599932,0.0010000000000001043,0.0020000000000000976,0.0648743629965948,0.06251405377246143,0.0020000000000000846,0.003000000000000084
3,001,001,1,0.0010000000000001718,0.002000000000000162,0.00099999999999999,0.05760255104690889,0.0010000000000001718,0.05840545935701402,0.0020000000000001705,0.05853470734753228,0.002000000000000162,0.05927779399794173,0.0030000000000001614
4,110,110,1,0.0020000000000002897,0.0030000000000002885,0.0009999999999999987,0.22078553881916815,0.21274501179954033,0.03725745430171766,0.03613932866993945,0.16678718872365553,0.16592665677179172,0.0020000000000002897,0.0030000000000002885
5,000,000,1,0.0,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.002,0.002,0.003
6,110,110,1,0.002000000000000036,0.00300000000000003,0.000999999999999994,0.08749636647913818,0.06472847960835638,0.02111405838451733,0.02141765896830427,0.05037953074715512,0.027391201326656192,0.002000000000000036,0.00300000000000003
7,010,010,1,0.0010000000000000878,0.0020000000000000846,0.0009999999999999968,0.262650639401855,0.25697554772669035,0.0010000000000000878,0.0020000000000000846,0.26011605643388513,0.24266843602995758,0.002000000000000086,0.0030000000000000846
8,111,111,1,0.0030000000000000608,0.01801473362219492,0.015014733622194857,0.18570623525081856,0.18377755968204282,0.052163495690698336,0.01801473362219492,0.08066175844291372,0.07588866403955814,0.03182802520133689,0.0030000000000000608
9,001,001,1,0.0010000000000000208,0.00200000000000002,0.0009999999999999992,0.035085017608837865,0.0010000000000000208,0.03126315389330759,0.0020000000000000204,0.028740261444239208,0.00200000000000002,0.027755263338537832,0.003000000000000021
10,111,111,1,0.003000000000001832,0.02125724531265285,0.018257245312651018,0.3933130919649381,0.2633257137435116,0.09962363774451326,0.02125724531265285,0.3736461232104736,0.26426978425812325,0.04841042542656445,0.003000000000001832
11,110,110,1,0.0020000000000000503,0.0030000000000000473,0.000999999999999997,0.21339791857036003,0.1931456413059632,0.029047068520723997,0.02575910879481541,0.1921788525706133,0.1841402561899387,0.0020000000000000503,0.0030000000000000473
12,011,011,1,0.0020000000000006124,0.00300000000000041,0.0009999999999997975,0.18121147646590552,0.016652158924147665,0.1409525916978269,0.0020000000000006124,0.16181387400981218,0.01310802078928487,0.13811055614836418,0.00300000000000041
13,011,011,1,0.0020000000000009615,0.0030000000000008666,0.000999999999999905,0.16536507895484429,0.018276819233318496,0.12316804935499935,0.0020000000000009615,0.15660658189207213,0.01803977385285986,0.12139788040913972,0.0030000000000008666
14,100,100,1,0.0010000000000002984,0.002000000000000161,0.0009999999999998625,0.07870053774103658,0.07711170886859713,0.0795827816443609,0.07777607114484937,0.0010000000000002984,0.002000000000000161,0.0020000000000002533,0.003000000000000084
15,001,001,1,0.0010000000000000644,0.0020000000000000534,0.000999999999999989,0.03530574564780243,0.0010000000000000644,0.034163039924618076,0.0020000000000000573,0.035740941089366374,0.0020000000000000534,0.032097286651418366,0.0030000000000000525
16,001,001,1,0.0010000000000000093,0.0020000000000000083,0.000999999999999999,0.014134617725261362,0.0010000000000000093,0.013638017245724159,0.002000000000000009,0.014708015793299101,0.0020000000000000083,0.014542710583627785,0.003000000000000023
17,010,010,1,0.0010000000000000996,0.002000000000000017,0.0009999999999999174,0.013775154763751631,0.009596075579975213,0.0010000000000000996,0.002000000000000061,0.008834438628704554,0.005075210278727642,0.002000000000000017,0.0030000000000000174
18,100,100,1,0.0010000000000000234,0.002000000000000017,0.0009999999999999935,0.016003698937350593,0.012412904498039501,0.01638948274960625,0.013291844778607963,0.0010000000000000234,0.002000000000000017,0.0020000000000000196,0.0030000000000000035
19,110,110,1,0.0020000000000004784,0.003000000000000521,0.0010000000000000425,0.11232483510496531,0.09544224459972987,0.11260326315705345,0.08669935274999736,0.03193605796446972,0.03154000514740754,0.0020000000000004784,0.003000000000000521
20,011,011,1,0.0020000000000001275,0.0030000000000001284,0.0010000000000000009,0.08776717941759486,0.04318338109393512,0.06627028024216457,0.0020000000000001275,0.0883467596133271,0.040244944763194304,0.06647479862629714,0.0030000000000001284
21,011,011,1,0.0020000000000000933,0.0030000000000000755,0.0009999999999999822,0.32526463825013496,0.2275581797566739,0.008209113682239906,0.0020000000000000933,0.2667347205890503,0.13565438997584353,0.006280863054755991,0.0030000000000000755
22,100,100,1,0.0010000000000000126,0.002000000000000004,0.0009999999999999913,0.019956966411744353,0.016475767704485316,0.02024495817600613,0.016981585152697244,0.0010000000000000126,0.002000000000000012,0.002000000000000004,0.0030000000000000035
23,011,011,1,0.002000000000000077,0.0030000000000000877,0.0010000000000000109,0.182485294066721,0.10295096110957937,0.08916413554639124,0.002000000000000077,0.14985545751133847,0.0781397971530406,0.08903706254543581,0.0030000000000000877
24,110,110,1,0.0020000000000000846,0.0030000000000000855,0.0010000000000000009,0.22206948174018368,0.21753235746636426,0.005104564372291882,0.005810395246672701,0.2119011420062068,0.2024132552106499,0.0020000000000000846,0.0030000000000000855
25,111,111,1,0.003000000000000066,0.004085298399285474,0.0010852983992854079,0.2217675477802026,0.13196377539127013,0.06674544952333542,0.004085298399285474,0.20838001904654882,0.12110547243867881,0.06456443623167889,0.003000000000000066
26,111,111,1,0.0030000000000001566,0.017589035261769873,0.014589035261769715,0.11763956666827473,0.06611276315367522,0.09274839417341856,0.04122594755883861,0.09519850628966635,0.017589035261769873,0.0773605805531942,0.0030000000000001566
27,100,100,1,0.001000000000000025,0.002000000000000017,0.000999999999999992,0.09557574159440697,0.09410044548289902,0.07747933281516921,0.07362457800493862,0.001000000000000025,0.002000000000000017,0.0020000000000000217,0.0030000000000000113
28,111,111,1,0.0030000000000009607,0.0733754076325792,0.07037540763257824,0.66495155736732,0.35232774023808794,0.3266500002194976,0.0733754076325792,0.6384696974235766,0.2428736681854217,0.3116104394754528,0.0030000000000009607
29,110,110,1,0.002000000000000182,0.003000000000000182,0.001,0.4485900474603901,0.44281278973084615,0.017008166256465663,0.018006512527995337,0.4298162869387628,0.42419916928980145,0.002000000000000182,0.003000000000000182
30,111,111,1,0.0030000000000003106,0.013013211183105456,0.010013211183105147,0.04231805392111177,0.03300380535761845,0.02745282401985968,0.013013211183105456,0.04086866407687649,0.028946220031292796,0.0236757761512984,0.0030000000000003106
31,111,111,1,0.003000000000000389,0.0174158846846722,0.014415884684671811,0.30826543145038937,0.29099788646724756,0.19255000642937412,0.17506024479237714,0.06728223885985833,0.05062297097641824,0.0174158846846722,0.003000000000000389
32,000,000,1,0.0,0.001,0.001,0.0,0.001,0.001,0.002,0.001,0.002,0.002,0.003
33,011,011,1,0.00200000000000006,0.0030000000000000586,0.0009999999999999987,0.10177241155487056,0.09823910560666159,0.029091923772257167,0.00200000000000006,0.09911929442269825,0.09701698980093941,0.028248729776387267,0.0030000000000000586
34,001,001,1,0.0010000000000000486,0.002000000000000006,0.0009999999999999575,0.07141760238821825,0.0010000000000000486,0.0699432434951127,0.002000000000000006,0.07241113038079779,0.0020000000000000486,0.0707468413342932,0.003000000000000011
35,110,110,1,0.0020000000000001605,0.0030000000000001623,0.0010000000000000018,0.23907004671482812,0.23980267492643262,0.04719122427230588,0.035382184357899006,0.1902243459407054,0.17640168287531566,0.0020000000000001605,0.0030000000000001623
36,110,110,1,0.0020000000000001297,0.003000000000000099,0.0009999999999999692,0.21094136577009426,0.20383154295145497,0.01367140788215044,0.010546364724548868,0.19147903147357948,0.1922801742840684,0.0020000000000001297,0.003000000000000099
37,001,001,1,0.0010000000000001084,0.0020000000000000824,0.000999999999999974,0.047175897013975364,0.0010000000000001084,0.04358853305748115,0.0020000000000001076,0.042209370152694214,0.0020000000000000824,0.03599301220965303,0.0030000000000000777
38,001,001,1,0.0010000000000004348,0.0020000000000003136,0.0009999999999998788,0.23482516339243706,0.0010000000000004348,0.23353781293786705,0.002000000000000528,0.23372155153588595,0.0020000000000003136,0.23366936928804552,0.0030000000000002646
39,111,111,1,0.0030000000000001,0.023216300934296705,0.020216300934296605,0.22558538823908328,0.1370455831017345,0.09033455697597269,0.06766397190366936,0.10526083237514118,0.023216300934296705,0.04041547929895727,0.0030000000000001
40,001,001,1,0.0010000000000000063,0.0020000000000000057,0.0009999999999999994,0.030021048559899555,0.0010000000000000063,0.02793880619900338,0.002000000000000006,0.030476943660339716,0.0020000000000000057,0.023340272197540313,0.0030000000000000087
41,111,111,1,0.0030000000000001536,0.010971703926866945,0.007971703926866792,0.2626029213280177,0.17000743542518656,0.04247566855449924,0.010971703926866945,0.18932071379929047,0.10856161783120093,0.033298722927504215,0.0030000000000001536
42,111,111,1,0.0030000000000000196,0.04602506029439566,0.043025060294395644,0.14956134597334966,0.13112642080097006,0.08800694727431342,0.05334633189574601,0.07877161227159317,0.05076911833358335,0.04602506029439566,0.0030000000000000196
43,011,011,1,0.0020000000000000083,0.0030000000000000105,0.0010000000000000022,0.203317686514454,0.10207759610240365,0.024085690926592934,0.0020000000000000083,0.15833925330182216,0.052978274607581866,0.018071906439829324,0.0030000000000000105
44,110,110,1,0.0020000000000001002,0.0030000000000002165,0.0010000000000001162,0.16304524496060935,0.12389649968252377,0.027042562023917735,0.02801579156167179,0.11204782346952581,0.07868803470147813,0.0020000000000001002,0.0030000000000002165
45,100,100,1,0.0010000000000000187,0.002000000000000009,0.0009999999999999905,0.012734146567676278,0.012376911383278226,0.011267624794401434,0.01124007890582013,0.0010000000000000187,0.0020000000000000183,0.002000000000000009,0.0030000000000000083
46,110,110,1,0.002000000000000332,0.0030000000000000144,0.0009999999999996826,0.2705117634586926,0.25900886252060074,0.026506434918995597,0.027415297845314837,0.09569302812221525,0.0902503431574387,0.002000000000000332,0.0030000000000000144
47,100,100,1,0.0010000000000000015,0.0020000000000000013,0.0009999999999999998,0.04901883844237096,0.05001347762060344,0.03199939673969156,0.020556918967933373,0.0010000000000000015,0.0020000000000000013,0.0020000000000000013,0.0030000000000000005
48,011,011,1,0.0020000000000001002,0.0030000000000000825,0.0009999999999999822,0.12576513129114597,0.08380021339849292,0.011372069201586853,0.0020000000000001002,0.11715200349057962,0.08287440028118971,0.011954821104400819,0.0030000000000000825
49,001,001,1,0.0010000000000002136,0.0020000000000001965,0.0009999999999999829,0.12154211071652625,0.0010000000000002136,0.09122548169385335,0.0020000000000001995,0.119221866093281,0.0020000000000001965,0.08506235292982936,0.003000000000000194
50,111,111,1,0.0030000000000000335,0.006097120077939282,0.0030971200779392485,0.08351021181204014,0.024420227340751957,0.08431476255335031,0.006097120077939282,0.059376480169851094,0.015417498804459478,0.05934398137560765,0.0030000000000000335
51,111,111,1,0.0030000000000003414,0.017779608348815583,0.014779608348815242,0.42265972092654636,0.3276889062853391,0.05237312285388562,0.03345746770600128,0.3742529963935951,0.29318821207945106,0.017779608348815583,0.0030000000000003414
52,011,011,1,0.0020000000000001393,0.003000000000000086,0.0009999999999999467,0.16659246277468917,0.09883424716533262,0.0886926589104378,0.0020000000000001393,0.1480936400386368,0.08282773666740594,0.08871285012107781,0.003000000000000086
53,110,110,1,0.002000000000000927,0.003000000000000381,0.000999999999999454,0.5662424526523172,0.5131234036233481,0.49377923026742193,0.4634870650452059,0.06001806979441407,0.05865585359172295,0.002000000000000927,0.003000000000000381
