sample,gt_pattern,selected_pattern,correct,gt_objective,best_alternative_objective,margin,J_000,J_001,J_010,J_011,J_100,J_101,J_110,J_111
0,011,011,1,0.0020000000000000907,0.008561180878690369,0.006561180878690278,0.08597796649934848,0.03501221306625299,0.06424277954979675,0.0020000000000000907,0.049045404821695414,0.02172427169264369,0.0488171709117061,0.008561180878690369
1,111,111,1,0.0030000000000010647,0.05897356931358028,0.05597356931357922,0.28843314640045364,0.20492022702103405,0.2973361233015329,0.1745172236809964,0.17630889766261226,0.05897356931358028,0.18104857663291982,0.0030000000000010647
2,010,010,1,0.0010000000000001043,0.013002387533426465,0.01200238753342636,0.06530429515245437,0.06954816303865688,0.0010000000000001043,0.013002387533426465,0.08156120734643298,0.07076552415940694,0.029456397708717462,0.025114891470852354
3,001,001,1,0.0010000000000001718,0.007345392000935253,0.006345392000935081,0.05760255104690889,0.0010000000000001718,0.0710526970950167,0.018420956722931647,0.06224423626245684,0.007345392000935253,0.07157580125507171,0.021163897534063364
4,110,110,1,0.0020000000000002897,0.01336308319362699,0.011363083193626701,0.22078553881916815,0.2130596173750853,0.03725745430171765,0.040137023664585304,0.16678718872365553,0.170424439362079,0.0020000000000002897,0.01336308319362699
5,000,000,1,0.0,0.003345574626767566,0.003345574626767566,0.0,0.003345574626767566,0.04439061334303573,0.020287216719437694,0.0035903405732311956,0.006684803235898824,0.031437777496778514,0.008342140346863536
6,110,110,1,0.002000000000000036,0.014267412478288062,0.012267412478288026,0.08749636647913818,0.06472847960835637,0.02111405838451733,0.028439458111949256,0.05037953074715512,0.027391201326656178,0.002000000000000036,0.014267412478288062
7,010,010,1,0.0010000000000000878,0.009941803115295373,0.008941803115295285,0.262650639401855,0.2575199809887448,0.0010000000000000878,0.012775733928408056,0.26192973808875775,0.2426684360299576,0.011071862986817178,0.009941803115295373
8,111,111,1,0.0030000000000000543,0.018014733622194926,0.015014733622194871,0.18570623525081856,0.18497350191810435,0.05216349569069834,0.018014733622194926,0.08108877927242987,0.07662381289326713,0.03182802520133689,0.0030000000000000543
9,001,001,1,0.0010000000000000208,0.013227516715431528,0.012227516715431506,0.035085017608837865,0.0010000000000000208,0.04373985917114213,0.028550876121437287,0.030057414343869566,0.013227516715431528,0.05267075531703704,0.03465174635434529
10,111,111,1,0.003000000000001863,0.02125724531265285,0.018257245312650987,0.3933130919649381,0.2664135260782584,0.09962363774451326,0.02125724531265285,0.3736461232104736,0.26995187723839476,0.04841042542656444,0.003000000000001863
