O4 full M=3 tp=identity seed=1 device=cuda
epoch=000 loss=0.134598 effect=0.133153 active=1.445 val_nrmse=1.00072
epoch=010 loss=0.031459 effect=0.028460 active=2.999 val_nrmse=0.45688
epoch=020 loss=0.023505 effect=0.020505 active=3.000 val_nrmse=0.39519
epoch=030 loss=0.019569 effect=0.016569 active=3.000 val_nrmse=0.35645
epoch=040 loss=0.017239 effect=0.014240 active=3.000 val_nrmse=0.33211
epoch=050 loss=0.015539 effect=0.012539 active=3.000 val_nrmse=0.31506
epoch=060 loss=0.014948 effect=0.011948 active=3.000 val_nrmse=0.30453
epoch=070 loss=0.013924 effect=0.010924 active=3.000 val_nrmse=0.29546
epoch=080 loss=0.013297 effect=0.010297 active=3.000 val_nrmse=0.28581
epoch=090 loss=0.012485 effect=0.009485 active=3.000 val_nrmse=0.27674
epoch=100 loss=0.012158 effect=0.009158 active=3.000 val_nrmse=0.26715
epoch=110 loss=0.011545 effect=0.008545 active=3.000 val_nrmse=0.26385
epoch=120 loss=0.011017 effect=0.008017 active=3.000 val_nrmse=0.25547
epoch=130 loss=0.010746 effect=0.007747 active=2.999 val_nrmse=0.24899
epoch=140 loss=0.010031 effect=0.007037 active=2.993 val_nrmse=0.23930
epoch=150 loss=0.009800 effect=0.006808 active=2.992 val_nrmse=0.23038
epoch=160 loss=0.009362 effect=0.006371 active=2.991 val_nrmse=0.22876
epoch=170 loss=0.009266 effect=0.006273 active=2.992 val_nrmse=0.22395
epoch=180 loss=0.008921 effect=0.005930 active=2.991 val_nrmse=0.22117
epoch=190 loss=0.008641 effect=0.005648 active=2.994 val_nrmse=0.21395
epoch=199 loss=0.008440 effect=0.005447 active=2.993 val_nrmse=0.21161
