O4 full M=3 tp=orthogonal seed=2 device=cuda
epoch=000 loss=0.129905 effect=0.128709 active=1.196 val_nrmse=1.00163
epoch=010 loss=0.039581 effect=0.037422 active=2.159 val_nrmse=0.51402
epoch=020 loss=0.023387 effect=0.020972 active=2.415 val_nrmse=0.39539
epoch=030 loss=0.020249 effect=0.017757 active=2.492 val_nrmse=0.36083
epoch=040 loss=0.017936 effect=0.015386 active=2.549 val_nrmse=0.33836
epoch=050 loss=0.015842 effect=0.013103 active=2.739 val_nrmse=0.31617
epoch=060 loss=0.014263 effect=0.011468 active=2.795 val_nrmse=0.29118
epoch=070 loss=0.013269 effect=0.010476 active=2.792 val_nrmse=0.28161
epoch=080 loss=0.012592 effect=0.009803 active=2.789 val_nrmse=0.27079
epoch=090 loss=0.012102 effect=0.009324 active=2.778 val_nrmse=0.26299
epoch=100 loss=0.011586 effect=0.008821 active=2.765 val_nrmse=0.25773
epoch=110 loss=0.010945 effect=0.008154 active=2.791 val_nrmse=0.25337
epoch=120 loss=0.010793 effect=0.007998 active=2.795 val_nrmse=0.24398
epoch=130 loss=0.010127 effect=0.007338 active=2.789 val_nrmse=0.23675
epoch=140 loss=0.009682 effect=0.006902 active=2.780 val_nrmse=0.22773
epoch=150 loss=0.009447 effect=0.006662 active=2.785 val_nrmse=0.22540
epoch=160 loss=0.009219 effect=0.006433 active=2.787 val_nrmse=0.22579
epoch=170 loss=0.008679 effect=0.005870 active=2.809 val_nrmse=0.21451
epoch=180 loss=0.008520 effect=0.005736 active=2.784 val_nrmse=0.20785
epoch=190 loss=0.007979 effect=0.005185 active=2.794 val_nrmse=0.20159
epoch=199 loss=0.007745 effect=0.004943 active=2.802 val_nrmse=0.19482
