S1 lambda=0.0001 seed=0 device=cpu
epoch=000 loss=0.129087 effect=0.128899 active=1.881 val_nrmse=0.98922
epoch=010 loss=0.028175 effect=0.027675 active=5.000 val_nrmse=0.45329
epoch=020 loss=0.008203 effect=0.007703 active=5.000 val_nrmse=0.23011
epoch=030 loss=0.006979 effect=0.006479 active=5.000 val_nrmse=0.20132
epoch=040 loss=0.003894 effect=0.003394 active=5.000 val_nrmse=0.16272
epoch=050 loss=0.003482 effect=0.002982 active=5.000 val_nrmse=0.15594
epoch=060 loss=0.003486 effect=0.002986 active=5.000 val_nrmse=0.14775
epoch=070 loss=0.003022 effect=0.002522 active=5.000 val_nrmse=0.14375
epoch=080 loss=0.002956 effect=0.002456 active=5.000 val_nrmse=0.13798
epoch=090 loss=0.002866 effect=0.002366 active=5.000 val_nrmse=0.13635
epoch=100 loss=0.002736 effect=0.002236 active=5.000 val_nrmse=0.13097
epoch=110 loss=0.002695 effect=0.002195 active=5.000 val_nrmse=0.13377
epoch=120 loss=0.002467 effect=0.001967 active=5.000 val_nrmse=0.13240
epoch=130 loss=0.002362 effect=0.001862 active=5.000 val_nrmse=0.11920
epoch=140 loss=0.002279 effect=0.001779 active=5.000 val_nrmse=0.11496
epoch=150 loss=0.002248 effect=0.001748 active=5.000 val_nrmse=0.11680
epoch=160 loss=0.002059 effect=0.001559 active=5.000 val_nrmse=0.11034
epoch=170 loss=0.002002 effect=0.001502 active=5.000 val_nrmse=0.10988
epoch=180 loss=0.002041 effect=0.001541 active=5.000 val_nrmse=0.10570
epoch=190 loss=0.001847 effect=0.001347 active=5.000 val_nrmse=0.11044
epoch=199 loss=0.001894 effect=0.001394 active=5.000 val_nrmse=0.11420
{"splits": {"test_iid": {"prediction_nrmse": 0.09972106665372849, "expected_active": 4.999999046325684, "candidate_usage": [0.9999998807907104, 0.9999998807907104, 1.0, 0.9999998807907104, 1.0], "participation_f1_mean": 0.6878582806142152, "participation_f1_min": 0.6440218312485169, "participation": {"Z1": {"precision": 0.47495, "recall": 1.0, "f1": 0.6440218312485169, "auroc": 0.4382455056015149}, "Z2": {"precision": 0.6333, "recall": 1.0, "f1": 0.7754852139839589, "auroc": 0.37634162688194533}, "Z3": {"precision": 0.475, "recall": 1.0, "f1": 0.6440677966101694, "auroc": 0.3837577894736842}}, "instance_effect_r2_matrix": [[-1.6977951327609344, -0.3048764438236098, -2.17325981011209], [-1.303789163100583, -0.8794440456561696, -1.927651775161328], [-7.893352444534228, -3.4659568024265246, -7.057502980199702], [-8.447099737134657, -4.566127054831002, -8.829384534371467], [-3.102406240295479, -1.3714955345635436, -3.139437445364063]], "instance_mapping_gt_to_learned": {"1": 0, "0": 1, "2": 4}, "instance_effect_r2_matched": [-1.303789163100583, -0.3048764438236098, -3.139437445364063], "instance_effect_r2_min": -3.139437445364063}, "test_context": {"prediction_nrmse": 0.12115466594696045, "expected_active": 5.0, "candidate_usage": [1.0, 1.0, 1.0, 1.0, 1.0], "participation_f1_mean": 0.6878582806142152, "participation_f1_min": 0.6440218312485169, "participation": {"Z1": {"precision": 0.47495, "recall": 1.0, "f1": 0.6440218312485169, "auroc": 0.48180167702735544}, "Z2": {"precision": 0.6333, "recall": 1.0, "f1": 0.7754852139839589, "auroc": 0.42388792139003256}, "Z3": {"precision": 0.475, "recall": 1.0, "f1": 0.6440677966101694, "auroc": 0.4171381002506266}}, "instance_effect_r2_matrix": [[-6.331688622668011, -0.8280624322220251, -6.637465390912701], [-5.604855409489318, -1.754585581558429, -6.021275962382039], [-29.666790587487405, -7.299268330784164, -26.868092177406307], [-32.41154994755049, -8.85426032839504, -31.41304177466798], [-11.809305963930202, -3.194572192081403, -11.336538379347576]], "instance_mapping_gt_to_learned": {"2": 0, "0": 1, "1": 4}, "instance_effect_r2_matched": [-5.604855409489318, -3.194572192081403, -6.637465390912701], "instance_effect_r2_min": -6.637465390912701}, "test_combination_101": {"prediction_nrmse": 0.1187170073390007, "expected_active": 4.999998569488525, "candidate_usage": [0.9999998211860657, 0.9999998807907104, 1.0, 1.0, 1.0], "participation_f1_mean": 0.6666666666666666, "participation_f1_min": 0.0, "participation": {"Z1": {"precision": 1.0, "recall": 1.0, "f1": 1.0, "auroc": NaN}, "Z2": {"precision": 0.0, "recall": 0.0, "f1": 0.0, "auroc": NaN}, "Z3": {"precision": 1.0, "recall": 1.0, "f1": 1.0, "auroc": NaN}}, "instance_effect_r2_matrix": [[-0.3478167872835318, -7330959472656249.0, -0.7318404809420203], [-0.46184664588976476, -8637894531249999.0, -1.0009758365285348], [-3.9808478359843322, -3.052234375e+16, -2.814222742615188], [-4.071194353434511, -3.71430546875e+16, -4.055493747257143], [-1.2723929596124095, -1.26261865234375e+16, -1.2127264998251452]], "instance_mapping_gt_to_learned": {"1": 0, "0": 1, "2": 4}, "instance_effect_r2_matched": [-0.46184664588976476, -7330959472656249.0, -1.2127264998251452], "instance_effect_r2_min": -7330959472656249.0}}, "good_working_point": false, "experiment": "S1", "lambda_participation": 0.0001, "optimization_seed": 0, "best_epoch": 197, "best_val_nrmse_subset": 0.10064951330423355, "epochs_run": 200, "wall_seconds": 964.746260881424}
